Substance,Source,Specific_Measure,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2021,,,Crude rate,38.1
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2022,,,Crude rate,39.2
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2023,,,Crude rate,40.9
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2024,,,Crude rate,41.4
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2025,,,Crude rate,32.3
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2016,,,Number,807
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2017,,,Number,1300
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2018,,,Number,1400
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2019,,,Number,899
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2020,,,Number,1562
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2021,,,Number,1993
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2022,,,Number,2098
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2023,,,Number,2256
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2024,,,Number,2347
Opioids,Deaths,Overall numbers,British Columbia,59,By year,2025,,,Number,1841
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2016 Q1,,,Number,176
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2016 Q2,,,Number,157
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2016 Q3,,,Number,153
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2016 Q4,,,Number,321
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2017 Q1,,,Number,353
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2017 Q2,,,Number,365
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2017 Q3,,,Number,318
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2017 Q4,,,Number,264
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2018 Q1,,,Number,359
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2018 Q2,,,Number,321
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2018 Q3,,,Number,374
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2018 Q4,,,Number,346
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2019 Q1,,,Number,273
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2019 Q2,,,Number,220
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2019 Q3,,,Number,201
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2019 Q4,,,Number,205
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2020 Q1,,,Number,229
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2020 Q2,,,Number,451
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2020 Q3,,,Number,428
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2020 Q4,,,Number,454
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2021 Q1,,,Number,488
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2021 Q2,,,Number,436
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2021 Q3,,,Number,498
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2021 Q4,,,Number,571
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2022 Q1,,,Number,531
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2022 Q2,,,Number,484
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2022 Q3,,,Number,518
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2022 Q4,,,Number,565
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2023 Q1,,,Number,559
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2023 Q2,,,Number,566
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2023 Q3,,,Number,534
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2023 Q4,,,Number,597
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2024 Q1,,,Number,649
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2024 Q2,,,Number,605
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2024 Q3,,,Number,603
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2024 Q4,,,Number,490
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2025 Q1,,,Number,446
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2025 Q2,,,Number,491
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2025 Q3,,,Number,476
Opioids,Deaths,Overall numbers,British Columbia,59,By quarter,2025 Q4,,,Number,428
Opioids,Deaths,Overall numbers,Alberta,48,By year,2016,,,Crude rate,14.3
Opioids,Deaths,Overall numbers,Alberta,48,By year,2017,,,Crude rate,17.6
Opioids,Deaths,Overall numbers,Alberta,48,By year,2018,,,Crude rate,18.8
Opioids,Deaths,Overall numbers,Alberta,48,By year,2019,,,Crude rate,14.4
Opioids,Deaths,Overall numbers,Alberta,48,By year,2020,,,Crude rate,27.0
Opioids,Deaths,Overall numbers,Alberta,48,By year,2021,,,Crude rate,37.1
Opioids,Deaths,Overall numbers,Alberta,48,By year,2022,,,Crude rate,33.7
Opioids,Deaths,Overall numbers,Alberta,48,By year,2023,,,Crude rate,39.8
Opioids,Deaths,Overall numbers,Alberta,48,By year,2024,,,Crude rate,24.4
Opioids,Deaths,Overall numbers,Alberta,48,By year,2025,,,Crude rate,22.8
Opioids,Deaths,Overall numbers,Alberta,48,By year,2016,,,Number,602
Opioids,Deaths,Overall numbers,Alberta,48,By year,2017,,,Number,744
Opioids,Deaths,Overall numbers,Alberta,48,By year,2018,,,Number,805
Opioids,Deaths,Overall numbers,Alberta,48,By year,2019,,,Number,626
Opioids,Deaths,Overall numbers,Alberta,48,By year,2020,,,Number,1192
Opioids,Deaths,Overall numbers,Alberta,48,By year,2021,,,Number,1642
Opioids,Deaths,Overall numbers,Alberta,48,By year,2022,,,Number,1523
Opioids,Deaths,Overall numbers,Alberta,48,By year,2023,,,Number,1867
Opioids,Deaths,Overall numbers,Alberta,48,By year,2024,,,Number,1198
Opioids,Deaths,Overall numbers,Alberta,48,By year,2025,,,Number,1145
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2016 Q1,,,Number,137
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2016 Q2,,,Number,140
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2016 Q3,,,Number,159
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2016 Q4,,,Number,166
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2017 Q1,,,Number,162
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2017 Q2,,,Number,182
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2017 Q3,,,Number,183
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2017 Q4,,,Number,217
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2018 Q1,,,Number,194
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2018 Q2,,,Number,206
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2018 Q3,,,Number,210
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2018 Q4,,,Number,195
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2019 Q1,,,Number,162
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2019 Q2,,,Number,187
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2019 Q3,,,Number,152
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2019 Q4,,,Number,125
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2020 Q1,,,Number,161
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2020 Q2,,,Number,320
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2020 Q3,,,Number,363
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2020 Q4,,,Number,348
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2021 Q1,,,Number,364
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2021 Q2,,,Number,366
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2021 Q3,,,Number,405
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2021 Q4,,,Number,507
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2022 Q1,,,Number,462
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2022 Q2,,,Number,354
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2022 Q3,,,Number,319
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2022 Q4,,,Number,388
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2023 Q1,,,Number,442
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2023 Q2,,,Number,510
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2023 Q3,,,Number,471
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2023 Q4,,,Number,444
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2024 Q1,,,Number,370
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2024 Q2,,,Number,258
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2024 Q3,,,Number,269
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2024 Q4,,,Number,301
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2025 Q1,,,Number,329
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2025 Q2,,,Number,287
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2025 Q3,,,Number,247
Opioids,Deaths,Overall numbers,Alberta,48,By quarter,2025 Q4,,,Number,282
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2016,,,Crude rate,7.3
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2017,,,Crude rate,7.4
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2018,,,Crude rate,10.0
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2019,,,Crude rate,9.9
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2020,,,Crude rate,21.4
